"Stkcd","Ddate","BPS"
"000062","2017-12-31","6.203569"
"000062","2018-12-31","7.133230"
"000062","2019-12-31","5.460588"
"000062","2020-12-31","5.833215"
"000062","2021-12-31","6.498544"
"000062","2022-12-31","7.480126"
"000063","2002-12-31","8.080143"
"000063","2003-12-31","7.907397"
"000063","2004-12-31","10.045750"
"000063","2005-12-31","11.042815"
"000063","2006-12-31","11.715003"
"000063","2007-12-31","13.432113"
"000063","2008-12-31","11.302917"
"000063","2009-12-31","12.967887"
"000063","2010-12-31","8.707475"
"000063","2011-12-31","7.733037"
"000063","2012-12-31","6.580877"
"000063","2013-12-31","6.872846"
"000063","2014-12-31","7.648637"
"000063","2015-12-31","10.443456"
"000063","2016-12-31","9.770305"
"000063","2017-12-31","10.823682"
"000063","2018-12-31","7.861496"
"000063","2019-12-31","8.977890"
"000063","2020-12-31","9.997433"
"000063","2021-12-31","11.263994"
"000063","2022-12-31","12.572171"
"000065","2005-12-31","2.710348"
"000065","2006-12-31","3.161195"
"000065","2007-12-31","2.639228"
"000065","2008-12-31","2.762578"
"000065","2009-12-31","3.303102"
"000065","2010-12-31","3.529186"
"000065","2011-12-31","3.963469"
"000065","2015-12-31","7.887260"
"000065","2016-12-31","7.136207"
"000065","2017-12-31","8.039890"
"000065","2018-12-31","5.989316"
"000065","2019-12-31","7.087724"
"000065","2020-12-31","8.092472"
"000065","2021-12-31","8.834155"
"000065","2022-12-31","8.543765"
"000066","2002-12-31","2.540454"
"000066","2003-12-31","2.773626"
"000066","2004-12-31","3.380380"
"000066","2005-12-31","3.797773"
"000066","2006-12-31","3.630024"
"000066","2007-12-31","3.826458"
"000066","2008-12-31","2.137105"
"000066","2009-12-31","14.960992"
"000066","2010-12-31","8.219680"
"000066","2011-12-31","7.724319"
"000066","2012-12-31","7.741748"
"000066","2014-12-31","6.399549"
"000066","2015-12-31","6.576393"
"000066","2016-12-31","7.182318"
"000066","2017-12-31","2.568393"
"000066","2018-12-31","2.266004"
"000066","2019-12-31","2.955305"
"000066","2020-12-31","3.193097"
"000066","2021-12-31","3.661750"
"000066","2022-12-31","4.603959"
"000068","2002-12-31","2.032084"
"000068","2003-12-31","2.279451"
"000068","2004-12-31","2.635765"
"000068","2005-12-31","2.592839"
"000068","2006-12-31","2.652453"
"000068","2007-12-31","2.392659"
"000068","2008-12-31","2.120388"
"000068","2015-12-31","0.658005"
"000068","2016-12-31","0.795600"
"000068","2017-12-31","1.085364"
"000068","2018-12-31","0.930150"
"000068","2019-12-31","0.951097"
"000069","2004-12-31","2.000940"
"000069","2005-12-31","2.645127"
"000069","2006-12-31","3.286910"
"000069","2007-12-31","4.353711"
"000069","2008-12-31","2.636783"
"000069","2009-12-31","3.684568"
"000069","2010-12-31","4.733833"
"000069","2011-12-31","3.234908"
"000069","2012-12-31","3.016425"
"000069","2013-12-31","3.803303"
"000069","2014-12-31","4.434903"
"000069","2015-12-31","5.139864"
"000069","2016-12-31","5.863743"
"000069","2017-12-31","7.980895"
"000069","2018-12-31","9.406477"
"000069","2019-12-31","11.582022"
"000069","2020-12-31","13.457486"
"000069","2021-12-31","14.726781"
"000069","2022-12-31","12.269243"
"000070","2002-12-31","3.188023"
"000070","2003-12-31","3.111254"
"000070","2009-12-31","2.939258"
"000070","2010-12-31","3.483948"
"000070","2011-12-31","3.672418"
"000070","2012-12-31","3.909749"
"000070","2013-12-31","4.300967"
"000070","2014-12-31","4.654801"
"000070","2015-12-31","4.495919"
"000070","2016-12-31","4.980877"
"000070","2017-12-31","2.910911"
"000070","2018-12-31","3.513206"
"000070","2019-12-31","3.539664"
"000070","2020-12-31","3.643122"
"000070","2021-12-31","2.984368"
"000070","2022-12-31","2.801235"
"000078","2009-12-31","1.061417"
"000078","2010-12-31","1.383308"
"000078","2011-12-31","1.488160"
"000078","2014-12-31","2.436166"
"000078","2015-12-31","2.847871"
"000078","2016-12-31","2.219597"
"000078","2017-12-31","2.444633"
"000078","2018-12-31","2.704719"
"000078","2019-12-31","2.841798"
"000078","2020-12-31","2.722737"
"000088","2002-12-31","3.655970"
"000088","2003-12-31","4.990441"
"000088","2004-12-31","2.985330"
"000088","2005-12-31","2.977437"
"000088","2006-12-31","3.119591"
"000088","2007-12-31","3.176651"
"000088","2008-12-31","3.375919"
"000088","2009-12-31","3.595638"
"000088","2010-12-31","3.681875"
"000088","2011-12-31","3.344641"
"000088","2012-12-31","2.520885"
"000088","2013-12-31","2.629413"
"000088","2014-12-31","2.853047"
"000088","2015-12-31","3.126202"
